Replicon;gene;type;start;end;orientation;color;from;to;subcolor;label_type;lane
chromosome;all0002;gene;981;1718;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;asl0003;gene;2617;2805;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;ssrA;gene;2858;3247;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;atpC;gene;3418;4365;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;atpA;gene;4454;5974;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;atpD;gene;6138;6689;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;atpF;gene;6686;7249;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;atpG;gene;7359;7850;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;atpH;gene;7996;8241;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;atpI;gene;8324;9079;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;atp1;gene;9132;9500;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0012;gene;10130;11329;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;asr0013;gene;11560;11850;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0014;gene;11847;12275;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0015;gene;12728;13168;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0016;gene;13138;13521;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0017;gene;13600;14121;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0018;gene;14319;14714;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0019;gene;14903;15274;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;apcE;gene;15778;19176;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;apcA;gene;19615;20100;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;apcB;gene;20166;20654;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;apcC;gene;20870;21076;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0024;gene;21221;22039;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0025;gene;22144;22584;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;asl0026;gene;22723;22944;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;asl0027;gene;23018;23263;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0028;gene;23449;23844;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0029;gene;24350;28033;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0030;gene;28285;30057;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0031;gene;30263;31741;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0032;gene;31875;33290;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;menA;gene;33548;34477;1;#4682B4;NA;NA;NA;bold.italic;1
