Replicon;gene;type;start;end;orientation;color;lane;from;to;subcolor;label_type
chromosome;slr0612;gene;937;1494;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;slr0613;gene;1577;2098;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;sll0558;gene;2172;2873;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;sll1214;gene;3192;4268;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;sll1213;gene;4451;5389;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;rfbD;gene;5534;6622;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;psbA2;gene;7229;8311;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;speA;gene;8492;10471;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;lig;gene;10622;12631;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;slr1315;gene;12755;13363;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;fecC;gene;13498;14529;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;fecD;gene;14626;15675;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;fecE;gene;15937;16743;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;fecB;gene;16740;17687;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;iutA;gene;17853;20408;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;pchR;gene;20615;21595;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;sll1204;gene;21838;23121;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;sll1203;gene;23139;24104;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;sll1202;gene;24101;25144;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;fhuA;gene;25266;27857;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;pcrR;gene;27990;29030;-1;#FFFFFF;2;NA;NA;NA;bold.italic
